G519	Non-significant (study details, 6 variants)	American (Caucasian), French	2 genes	multiple	Geesaman et al. (2003)
326	Significant (study details)	Italian	CAMK4	5q22.1	Malovini et al. (2011)
299	Significant (study details)	American (Caucasian)	CARS	11p15.4	Yashin et al. (2012)
359	Significant (study details)	Russian	CASP5	11q22.3	Ulybina et al. (2010)
153	Non-significant (study details)	Danish	CAT	11p13	Christiansen et al. (2004)
G503	Significant (study details, 2 variants)	Spanish	CCL5	17q12	Laplana and Fibla (2012)
339	Non-significant (study details)	Spanish	CCR5	3p21.31	Laplana and Fibla (2012)
294	Significant (study details)	American (Caucasian)	CDH4	20q13.33	Yashin et al. (2012)
G434	Significant (study details, 2 variants)	Italian	CDKN1A	6p21.2	Gravina et al. (2009)
G456	Non-significant (study details, 30 variants)	Dutch	20 genes	multiple	Beekman et al. (2010)
G430	Significant (study details, 2 variants)	Ashkenazi Jewish	CEP128	14q31.1	Atzmon et al. (2009)
G554	Non-significant (study details, 2 variants)	American (Georgia and Louisiana populations from African and European origin)	2 genes	multiple	Jazwinski et al. (2010)
95	Non-significant (study details)	Japanese	CETP	16q13	Arai et al. (2003)
128	Significant (study details)	Ashkenazi Jewish	CETP	16q13	Barzilai et al. (2003)
385	Non-significant (study details)	Chinese	CETP	16q13	Sun et al. (2014)
G521	Non-significant (study details, 2 variants)	American of Japanese origin	CETP	16q13	Koropatnick et al. (2008)
185	Non-significant (study details)	Italian	CETP	16q13	Cellini et al. (2005)
G477	Significant (study details, 8 variants)	Danish, German, Dutch	CETP	16q13	Soerensen et al. (2013)
369	Significant (study details)	Ashkenazi Jewish	CETP	16q13	Atzmon et al. (2005)
34	Non-significant (study details)	Italian	CFB	6p21.33	Bellavia et al. (1999)
236	Significant (study details)	Mediterranean (Italian, Greek and Tunisian)	CHIT1	1q32.1	Malaguarnera et al. (2010)
317	Significant (study details)	American (Caucasian)	CLSTN2	3q23	Yashin et al. (2012)
G510	Non-significant (study details, 9 variants)	American, English, Irish	9 genes	multiple	Shi et al. (2012)
223	Non-significant (study details)	German	CNDP1	18q22.3	Zschocke et al. (2006)
186	Significant (study details)	American (Caucasian)	CPB2	13q14.13	Reiner et al. (2005)
113	Non-significant (study details)	Irish	CXCL8	4q13.3	Ross et al. (2003)
249	Significant (study details)	Italian (Salerno)	CYP19A1	15q21.2	Corbo et al. (2011)
48	Non-significant (study details)	Italian (Northern)	CYP1A1	15q24.1	Taioli et al. (2001)
G411	Non-significant (study details, 2 variants)	German	CYP1A1	15q24.1	Pesch et al. (2004)
145	Significant (study details)	German	CYP1B1	2p22.2	Pesch et al. (2004)
G485	Non-significant (study details, 56 variants)	German	5 genes	multiple	Flachsbart et al. (2011)
G400	Non-significant (study details, 2 variants)	French	CYP2D6	22q13.2	Muiras et al. (1998)
20	Non-significant (study details)	Spanish	CYP2D6	22q13.2	Agúndez et al. (1997)
22	Non-significant (study details)	Spanish	CYP2E1	10q26.3	Agúndez et al. (1997)
G535	Non-significant (study details, 2 variants)	Spanish	2 genes	multiple	Garatachea et al. (2014)
G536	Significant (study details, 3 variants)	Italian	3 genes	multiple	Garatachea et al. (2014)
G537	Significant (study details, 3 variants)	Japanese	3 genes	multiple	Garatachea et al. (2014)
G466	Non-significant (study details, 6 variants)	European	3 genes	multiple	Lescai et al. (2009)
293	Significant (study details)	American (Caucasian)	DRD4	11p15.5	Grady et al. (2013)
G468	Non-significant (study details, 3 variants)	German	3 genes	multiple	Flachsbart et al. (2010)
G494	Significant (study details, 4 variants)	Korean	EGFR	7p11.2	Park et al. (2009)
G508	Non-significant (study details, 316 variants)	Italian (Southern)	119 genes	multiple	Di Cianni et al. (2013)
234	Significant (study details)	Polish	ERCC2	19q13.32	Polosak et al. (2010)
250	Significant (study details)	Italian (Salerno)	ESR1	6q25.1-q25.2	Corbo et al. (2011)
G427	Significant (study details, 3 variants)	German	EXO1	1q43	Nebel et al. (2009)
65	Non-significant (study details)	Danish	F2	11p11.2	Tan et al. (2001)
38	Non-significant (study details)	Danish	F2	11p11.2	Bladbjerg et al. (1999)
61	Non-significant (study details)	American (Caucasian)	F2	11p11.2	Hessner et al. (2001)
56	Non-significant (study details)	American (Caucasian)	F5	1q24.2	Hessner et al. (2001)
G404	Significant (study details, 2 variants)	Danish	F7	13q34	Tan et al. (2001)
15	Non-significant (study details)	Italian	F7	13q34	Mannucci et al. (1997)
66	Non-significant (study details)	Danish	F7	13q34	Tan et al. (2001)
39	Non-significant (study details)	Danish	F7	13q34	Bladbjerg et al. (1999)
172	Non-significant (study details)	Ashkenazi Jewish (Jerusalem)	F7	13q34	Stessman et al. (2005)
318	Significant (study details)	American (Caucasian)	FAM19A5	22q13.32	Yashin et al. (2012)
82	Non-significant (study details)	Italian (Northern)	FAS	10q23.31	Pinti et al. (2002)
83	Non-significant (study details)	Italian (Northern)	FASLG	1q24.3	Pinti et al. (2002)
221	Non-significant (study details)	German	FCGR2A	1q23.3	Flesch et al. (2006)
187	Non-significant (study details)	American (Caucasian)	FGB	4q31.3	Reiner et al. (2005)
16	Non-significant (study details)	Italian	FGB	4q31.3	Mannucci et al. (1997)
67	Non-significant (study details)	Danish	FGB	4q31.3	Tan et al. (2001)
40	Non-significant (study details)	Danish	FGB	4q31.3	Bladbjerg et al. (1999)
G488	Significant (study details, 2 variants)	Chinese (Han)	FOXO1	13q14.11	Zeng et al. (2010)
119	Non-significant (study details)	Italian	FOXO1	13q14.11	Bonafè et al. (2003)
G428	Significant (study details, 2 variants)	Chinese (Han)	FOXO1	13q14.11	Li et al. (2009)
G484	Non-significant (study details, 21 variants)	American (Caucasian)	7 genes	multiple	Lunetta et al. (2007)
166	Non-significant (study details)	Japanese	FOXO1	13q14.11	Kojima et al. (2004)
G460	Non-significant (study details, 21 variants)	Dutch	FOXO3	6q21	Deelen et al. (2011)
G442	Significant (study details, 3 variants)	American of Japanese origin	FOXO3	6q21	Willcox et al. (2008)
G452	Non-significant (study details, 2 variants)	German	2 genes	multiple	Nebel et al. (2011)
G489	Significant (study details, 3 variants)	Chinese (Han)	FOXO3	6q21	Zeng et al. (2010)
G448	Significant (study details, 2 variants)	American (Caucasian)	FOXO3	6q21	Pawlikowska et al. (2009)
G512	Significant (study details, 8 variants)	Danish	FOXO3	6q21	Soerensen et al. (2010)
G429	Significant (study details, 3 variants)	Chinese (Han)	FOXO3	6q21	Li et al. (2009)
G513	Non-significant (study details, 6 variants)	Danish	FOXO3	6q21	Soerensen et al. (2010)
G445	Non-significant (study details, 39 variants)	American of Japanese origin	FOXO3	6q21	Donlon et al. (2012)
G426	Significant (study details, 4 variants)	Italian (Southern)	FOXO3	6q21	Anselmi et al. (2009)
335	(study details)	Italian (Southern)	FSHR	2p16.3	Corbo et al. (2013)
G462	Non-significant (study details, 3 variants)	Dutch	3 genes	multiple	Noordam et al. (2012)
178	Significant (study details)	Dutch	GH1	17q23.3	van Heemst et al. (2005)
G449	Non-significant (study details, 16 variants)	American (Caucasian)	7 genes	multiple	Pawlikowska et al. (2009)
260	Significant (study details)	Danish	GHRHR	7p14.3	Soerensen et al. (2012)
180	Non-significant (study details)	Dutch	GHRHR	7p14.3	van Heemst et al. (2005)
271	Significant (study details)	Danish	GHRL	3p25.3	Soerensen et al. (2012)
262	Significant (study details)	Danish	GHSR	3q26.31	Soerensen et al. (2012)
142	Non-significant (study details)	Danish	GP1BA	17p13.2	Pesch et al. (2004)
365	Significant (study details)	Danish	GPX1	3p21.31	Soerensen et al. (2009)
G547	Non-significant (study details, 282 variants)	Danish	40 genes	multiple	Dato et al. (2014)
259	Significant (study details)	Danish	GSR	8p12	Soerensen et al. (2012)
146	Non-significant (study details)	German	GSTM1	1p13.3	Pesch et al. (2004)
211	Non-significant (study details)	Danish	GSTM1	1p13.3	Christiansen et al. (2006)
25	Non-significant (study details)	French	GSTM1	1p13.3	Muiras et al. (1998)
49	Non-significant (study details)	Italian (Northern)	GSTM1	1p13.3	Taioli et al. (2001)
147	Non-significant (study details)	German	GSTP1	11q13.2	Pesch et al. (2004)
50	Significant (study details)	Italian (Northern)	GSTT1	22q11.23	Taioli et al. (2001)
212	Significant (study details)	Danish	GSTT1	22q11.23	Christiansen et al. (2006)
148	Non-significant (study details)	German	GSTT1	22q11.23	Pesch et al. (2004)
356	Significant (study details)	Italian (Southern)	GSTZ1	14q24.3	Di Cianni et al. (2013)
273	Significant (study details)	Danish	H2AFX	11q23.3	Soerensen et al. (2012)
370	Significant (study details)	Italian (Sicily)	HFE	6p22.2	Lio et al. (2002)
G520	Non-significant (study details, 2 variants)	Italian (Sicily)	HFE	6p22.2	Lio et al. (2002)
G406	Non-significant (study details, 3 variants)	Italian (Sardinia)	HFE	6p22.2	Carru et al. (2003)
81	Significant (study details)	Italian (Sicily)	HFE	6p22.2	Lio et al. (2002)
114	Non-significant (study details)	Irish (Belfast)	HLA-A	6p22.1	Ross et al. (2003)
133	Non-significant (study details)	Bulgarian	HLA-A	6p22.1	Naumova et al. (2004)
116	Non-significant (study details)	Irish (Belfast)	HLA-B	6p21.33	Ross et al. (2003)
135	Non-significant (study details)	Bulgarian	HLA-B	6p21.33	Naumova et al. (2004)
195	Non-significant (study details)	Mexican	HLA-B	6p21.33	Soto-Vega et al. (2005)
3	Non-significant (study details)	Dutch	HLA-B	6p21.33	Lagaay et al. (1991)
136	Non-significant (study details)	Bulgarian	HLA-C	6p21.33	Naumova et al. (2004)
196	Non-significant (study details)	Mexican	HLA-DQA1	6p21.32	Soto-Vega et al. (2005)
215	Non-significant (study details)	Italian (Sardinia)	HLA-DQA1	6p21.32	Scola et al. (2006)
376	Significant (study details)	Japanese	HLA-DQA1	6p21.32	Takata et al. (1987)
G397	Significant (study details, 2 variants)	Japanese (Okinawa)	HLA-DQA1	6p21.32	Akisaka et al. (1997)
G408	Non-significant (study details, 2 variants)	Bulgarian	HLA-DQB1	6p21.32	Naumova et al. (2004)
216	Non-significant (study details)	Italian (Sardinia)	HLA-DQB1	6p21.32	Scola et al. (2006)
G398	Significant (study details, 2 variants)	Japanese (Okinawa)	HLA-DQB1	6p21.32	Akisaka et al. (1997)
G399	Significant (study details, 3 variants)	Japanese (Okinawa)	HLA-DRB1	6p21.32	Akisaka et al. (1997)
G409	Non-significant (study details, 2 variants)	Bulgarian	HLA-DRB1	6p21.32	Naumova et al. (2004)
194	Non-significant (study details)	Mexican	HLA-DRB1	6p21.32	Soto-Vega et al. (2005)
377	Significant (study details)	Japanese	HLA-DRB1	6p21.32	Takata et al. (1987)
245	Significant (study details)	Italian (Palermo)	HLA-DRB1	6p21.32	Listì et al. (2010)
21	Significant (study details)	French	HLA-DRB1	6p21.32	Ivanova et al. (1998)
115	Non-significant (study details)	Irish (Belfast)	HLA-DRB3	6p21.3	Ross et al. (2003)
1	Non-significant (study details)	Dutch	HLA-DRB5	6p21.32	Lagaay et al. (1991)
93	Significant (study details)	Japanese	HMOX1	22q12.3	Yamaya et al. (2003)
352	Significant (study details)	Italian (Central)	HP	16q22.2	Napolioni et al. (2011)
309	Significant (study details)	American (Caucasian)	HPCAL1	2p25.1	Yashin et al. (2012)
G478	Significant (study details, 4 variants)	Danish, German, Dutch	HSPA14	10p13	Soerensen et al. (2013)
G436	Significant (study details, 3 variants)	Danish	3 genes	multiple	Singh et al. (2010)
125	Significant (study details)	Italian (Southern)	HSPA1A	6p21.33	Altomare et al. (2003)
217	Significant (study details)	Danish	HSPA1A	6p21.33	Singh et al. (2006)
G504	Non-significant (study details, 2 variants)	American (Caucasian), Ashkenazi Jewish	2 genes	multiple	Terry et al. (2006)
149	Significant (study details)	Danish	HSPA1A	6p21.33	Singh et al. (2004)
219	Significant (study details)	Danish	HSPA1B	6p21.33	Singh et al. (2006)
G421	Non-significant (study details, 2 variants)	Ashkenazi Jewish	2 genes	multiple	Terry et al. (2006)
G431	Significant (study details, 3 variants)	Chinese (Uighur in Xinjiang)	3 genes	multiple	Li et al. (2009)
150	Non-significant (study details)	Danish	HSPA1L	6p21.33	Singh et al. (2004)
106	Significant (study details)	Irish	HSPA1L	6p21.33	Ross et al. (2003)
378	Significant (study details)	Irish	HSPA1L	6p21.33	Ross et al. (2003)
137	Non-significant (study details)	Bulgarian	IFNG	12q15	Naumova et al. (2004)
160	Non-significant (study details)	Italian (Sardinia)	IFNG	12q15	Pes et al. (2004)
79	Significant (study details)	Italian	IFNG	12q15	Lio et al. (2002)
372	Significant (study details)	Italian	IFNG	12q15	Lio et al. (2002)
108	Non-significant (study details)	Irish	IFNG	12q15	Ross et al. (2003)
179	Non-significant (study details)	Dutch	IGF1	12q23.2	van Heemst et al. (2005)
G424	Non-significant (study details, 3 variants)	Chinese (Han)	IGF1	12q23.2	Xie et al. (2008)
241	Non-significant (study details)	Chinese (Han)	IGF1	12q23.2	Xie et al. (2010)
232	Non-significant (study details)	Ashkenazi Jewish	IGF1	12q23.2	Suh et al. (2008)
G422	Significant (study details, 2 variants)	Ashkenazi Jewish	IGF1R	15q26.3	Suh et al. (2008)
325	Significant (study details)	Italian	IGF1R	15q26.3	Albani et al. (2011)
G490	Significant (study details, 4 variants)	Italian	3 genes	multiple	Barbieri et al. (2012)
G407	Significant (study details, 2 variants)	Italian	IGF1R	15q26.3	Bonafè et al. (2003)
173	Significant (study details)	Ashkenazi Jewish (Jerusalem)	IGF2	11p15.5	Stessman et al. (2005)
73	Non-significant (study details)	Italian	IGF2	11p15.5	De Luca et al. (2001)
264	Significant (study details)	Danish	IGF2R	6q25.3	Soerensen et al. (2012)
246	Significant (study details)	Jordanian	IL10	1q32.1	Khabour and Barnawi (2010)
109	Non-significant (study details)	Irish	IL10	1q32.1	Ross et al. (2003)
69	Non-significant (study details)	Finnish	IL10	1q32.1	Wang et al. (2001)
101	Significant (study details)	Italian	IL10	1q32.1	Lio et al. (2003)
161	Non-significant (study details)	Italian (Sardinia)	IL10	1q32.1	Pes et al. (2004)
G410	Non-significant (study details, 3 variants)	Bulgarian	IL10	1q32.1	Naumova et al. (2004)
80	Significant (study details)	Italian	IL10	1q32.1	Lio et al. (2002)
199	Significant (study details)	Japanese	IL10	1q32.1	Okayama et al. (2005)
110	Non-significant (study details)	Irish	IL12A	3q25.33	Ross et al. (2003)
230	Significant (study details)	Italian	IL18	11q23.1	Frayling et al. (2007)
200	Non-significant (study details)	Japanese	IL18	11q23.1	Okayama et al. (2005)
105	Non-significant (study details)	Italian (Nothern and Central)	IL1A	2q14.1	Cavallone et al. (2003)
71	Non-significant (study details)	Finnish	IL1A	2q14.1	Wang et al. (2001)
201	Non-significant (study details)	Japanese	IL1B	2q14.1	Okayama et al. (2005)
70	Non-significant (study details)	Finnish	IL1B	2q14.1	Wang et al. (2001)
103	Non-significant (study details)	Italian (Northern and Central)	IL1B	2q14.1	Cavallone et al. (2003)
72	Non-significant (study details)	Finnish	IL1RN	2q14.1	Wang et al. (2001)
104	Non-significant (study details)	Italian (Northern and Central)	IL1RN	2q14.1	Cavallone et al. (2003)
111	Non-significant (study details)	Irish	IL2	4q27	Ross et al. (2003)
207	Non-significant (study details)	Italian (Central and Southern)	IL2	4q27	Scola et al. (2005)
351	Significant (study details)	Turkish	IL6	7p15.3	Kayaaltı et al. (2011)
G524	Significant (study details, 2 variants)	Danish	IL6	7p15.3	Christiansen et al. (2004)
155	Significant (study details)	Danish	IL6	7p15.3	Christiansen et al. (2004)
74	Non-significant (study details)	Finnish	IL6	7p15.3	Wang et al. (2001)
202	Non-significant (study details)	Japanese	IL6	7p15.3	Okayama et al. (2005)
138	Non-significant (study details)	Bulgarian	IL6	7p15.3	Naumova et al. (2004)
G525	Non-significant (study details, 2 variants)	Danish	IL6	7p15.3	Christiansen et al. (2004)
189	Non-significant (study details)	American (Caucasian)	IL6	7p15.3	Reiner et al. (2005)
107	Non-significant (study details)	Irish (Northern)	IL6	7p15.3	Rea et al. (2003)
57	Significant (study details)	Italian	IL6	7p15.3	Bonafè et al. (2001)
112	Non-significant (study details)	Irish	IL6	7p15.3	Ross et al. (2003)
176	Significant (study details)	Finnish	IL6	7p15.3	Hurme et al. (2005)
327	Non-significant (study details)	Italian	IL6	7p15.3	Albani et al. (2011)
163	Non-significant (study details)	Italian (Sardinia)	IL6	7p15.3	Pes et al. (2004)
291	Non-significant (study details)	Danish, German, Dutch	IL6	7p15.3	Soerensen et al. (2013)
154	Non-significant (study details)	Italian (Southern)	IL6	7p15.3	Capurso et al. (2004)
G516	Non-significant (study details, 7 variants)	American (Caucasian and African–American), Ashkenazi Jewish	IL6R	1q21.3	Walston et al. (2009)
261	Significant (study details)	Danish	INS	11p15.5	Soerensen et al. (2012)
181	Non-significant (study details)	Dutch	INS	11p15.5	van Heemst et al. (2005)
76	Non-significant (study details)	Italian	INS	11p15.5	De Luca et al. (2001)
165	Significant (study details)	Japanese	INSR	19p13.2	Kojima et al. (2004)
183	Non-significant (study details)	Dutch	IRS1	2q36.3	van Heemst et al. (2005)
120	Non-significant (study details)	Italian	IRS1	2q36.3	Bonafè et al. (2003)
167	Non-significant (study details)	Japanese	IRS1	2q36.3	Kojima et al. (2004)
238	Significant (study details)	Italian	IRS2	13q34	Barbieri et al. (2010)
58	Non-significant (study details)	American (Caucasian)	ITGA2	5q11.2	Hessner et al. (2001)
59	Significant (study details)	American (Caucasian)	ITGB3	17q21.32	Hessner et al. (2001)
41	Non-significant (study details)	Danish	ITGB3	17q21.32	Bladbjerg et al. (1999)
G453	Non-significant (study details, 32 variants)	German	25 genes	multiple	Nebel et al. (2011)
159	Non-significant (study details)	Irish	KIR3DL1	19q13.42	Maxwell et al. (2004)
141	Non-significant (study details)	Irish	KIR3DL1	19q13.42	Ross et al. (2004)
233	Significant (study details)	Italian	KL	13q13.1	Invidia et al. (2010)
G405	Significant (study details, 2 variants)	Czechs (Bohemian), Americans (Baltimore Caucasians and African-Americans)	KL	13q13.1	Arking et al. (2002)
